"Step","./results_packing - eval/loss","./results_packing - eval/loss__MIN","./results_packing - eval/loss__MAX"
"675","2.2680742740631104","2.2680742740631104","2.2680742740631104"
"677","2.270341157913208","2.270341157913208","2.270341157913208"
"679","2.2670228481292725","2.2670228481292725","2.2670228481292725"
"681","2.2950422763824463","2.2950422763824463","2.2950422763824463"
"683","2.331515073776245","2.331515073776245","2.331515073776245"
"685","2.300570487976074","2.300570487976074","2.300570487976074"
"687","2.3501477241516113","2.3501477241516113","2.3501477241516113"
"689","2.2900242805480957","2.2900242805480957","2.2900242805480957"
"691","2.305124044418335","2.305124044418335","2.305124044418335"
"693","2.308354139328003","2.308354139328003","2.308354139328003"
"695","2.282318115234375","2.282318115234375","2.282318115234375"
"697","2.3164093494415283","2.3164093494415283","2.3164093494415283"
"699","2.2646098136901855","2.2646098136901855","2.2646098136901855"
"701","2.290907859802246","2.290907859802246","2.290907859802246"
"703","2.2821240425109863","2.2821240425109863","2.2821240425109863"
"705","2.2693448066711426","2.2693448066711426","2.2693448066711426"
"707","2.2756271362304688","2.2756271362304688","2.2756271362304688"
"709","2.2504425048828125","2.2504425048828125","2.2504425048828125"
"711","2.2960851192474365","2.2960851192474365","2.2960851192474365"
"713","2.2557737827301025","2.2557737827301025","2.2557737827301025"
"715","2.287876844406128","2.287876844406128","2.287876844406128"
"717","2.324939012527466","2.324939012527466","2.324939012527466"
"719","2.28705096244812","2.28705096244812","2.28705096244812"
"721","2.2869479656219482","2.2869479656219482","2.2869479656219482"
"723","2.285201072692871","2.285201072692871","2.285201072692871"
"725","2.2830066680908203","2.2830066680908203","2.2830066680908203"
"727","2.3095591068267822","2.3095591068267822","2.3095591068267822"
"729","2.259989023208618","2.259989023208618","2.259989023208618"
"731","2.3194544315338135","2.3194544315338135","2.3194544315338135"
"733","2.3405776023864746","2.3405776023864746","2.3405776023864746"
"735","2.376325845718384","2.376325845718384","2.376325845718384"
"737","2.3322412967681885","2.3322412967681885","2.3322412967681885"
"739","2.3366031646728516","2.3366031646728516","2.3366031646728516"
"741","2.331967353820801","2.331967353820801","2.331967353820801"
"743","2.3655989170074463","2.3655989170074463","2.3655989170074463"
"745","2.3221590518951416","2.3221590518951416","2.3221590518951416"
"747","2.3371152877807617","2.3371152877807617","2.3371152877807617"
"749","2.3628814220428467","2.3628814220428467","2.3628814220428467"
"751","2.356712818145752","2.356712818145752","2.356712818145752"
"753","2.434149742126465","2.434149742126465","2.434149742126465"
"755","2.3569045066833496","2.3569045066833496","2.3569045066833496"
"757","2.3464503288269043","2.3464503288269043","2.3464503288269043"
"759","2.3591599464416504","2.3591599464416504","2.3591599464416504"
"761","2.3410229682922363","2.3410229682922363","2.3410229682922363"
"763","2.357440233230591","2.357440233230591","2.357440233230591"
"765","2.348320484161377","2.348320484161377","2.348320484161377"
"767","2.3336527347564697","2.3336527347564697","2.3336527347564697"
"769","2.2855074405670166","2.2855074405670166","2.2855074405670166"
"771","2.4087088108062744","2.4087088108062744","2.4087088108062744"
"773","2.2935895919799805","2.2935895919799805","2.2935895919799805"
"775","2.3376777172088623","2.3376777172088623","2.3376777172088623"
"777","2.3162171840667725","2.3162171840667725","2.3162171840667725"
"779","2.2898528575897217","2.2898528575897217","2.2898528575897217"
"781","2.4972472190856934","2.4972472190856934","2.4972472190856934"
"783","2.4106478691101074","2.4106478691101074","2.4106478691101074"
"785","2.3641252517700195","2.3641252517700195","2.3641252517700195"
"787","2.393602132797241","2.393602132797241","2.393602132797241"
"789","2.375643491744995","2.375643491744995","2.375643491744995"
"791","2.44575834274292","2.44575834274292","2.44575834274292"
"793","2.3409268856048584","2.3409268856048584","2.3409268856048584"
"795","2.328876495361328","2.328876495361328","2.328876495361328"
"797","2.313702344894409","2.313702344894409","2.313702344894409"
"799","2.4242031574249268","2.4242031574249268","2.4242031574249268"
"801","2.4219541549682617","2.4219541549682617","2.4219541549682617"
"803","2.3745687007904053","2.3745687007904053","2.3745687007904053"
"805","2.424140214920044","2.424140214920044","2.424140214920044"
"807","2.4009785652160645","2.4009785652160645","2.4009785652160645"
"809","2.3777377605438232","2.3777377605438232","2.3777377605438232"
"811","2.4009580612182617","2.4009580612182617","2.4009580612182617"
"813","2.3979060649871826","2.3979060649871826","2.3979060649871826"
"815","2.3996641635894775","2.3996641635894775","2.3996641635894775"
"817","2.4264838695526123","2.4264838695526123","2.4264838695526123"
"819","2.334892511367798","2.334892511367798","2.334892511367798"
"821","2.3824708461761475","2.3824708461761475","2.3824708461761475"
"823","2.3466596603393555","2.3466596603393555","2.3466596603393555"
"825","2.3488681316375732","2.3488681316375732","2.3488681316375732"
"827","2.3011081218719482","2.3011081218719482","2.3011081218719482"
"829","2.3689610958099365","2.3689610958099365","2.3689610958099365"
"831","2.5725715160369873","2.5725715160369873","2.5725715160369873"
"833","2.4715402126312256","2.4715402126312256","2.4715402126312256"
"835","2.4510018825531006","2.4510018825531006","2.4510018825531006"
"837","2.4377787113189697","2.4377787113189697","2.4377787113189697"
"839","2.421388626098633","2.421388626098633","2.421388626098633"
"841","2.3909621238708496","2.3909621238708496","2.3909621238708496"
"843","2.404127359390259","2.404127359390259","2.404127359390259"
"845","2.3963253498077393","2.3963253498077393","2.3963253498077393"
"847","2.309964895248413","2.309964895248413","2.309964895248413"
"849","2.4608521461486816","2.4608521461486816","2.4608521461486816"
"851","2.517963409423828","2.517963409423828","2.517963409423828"
"853","2.519169569015503","2.519169569015503","2.519169569015503"
"855","2.5044760704040527","2.5044760704040527","2.5044760704040527"
"857","2.4943015575408936","2.4943015575408936","2.4943015575408936"
"859","2.447537899017334","2.447537899017334","2.447537899017334"
"861","2.5092906951904297","2.5092906951904297","2.5092906951904297"
"863","2.478762149810791","2.478762149810791","2.478762149810791"
"865","2.4339442253112793","2.4339442253112793","2.4339442253112793"
"867","2.4513182640075684","2.4513182640075684","2.4513182640075684"
"869","2.3798816204071045","2.3798816204071045","2.3798816204071045"
"871","2.412414312362671","2.412414312362671","2.412414312362671"
"873","2.3809516429901123","2.3809516429901123","2.3809516429901123"
"875","2.4228272438049316","2.4228272438049316","2.4228272438049316"
"877","2.4039154052734375","2.4039154052734375","2.4039154052734375"
"879","2.432403087615967","2.432403087615967","2.432403087615967"
"881","2.472242593765259","2.472242593765259","2.472242593765259"
"883","2.4901232719421387","2.4901232719421387","2.4901232719421387"
"885","2.4875621795654297","2.4875621795654297","2.4875621795654297"
"887","2.4534413814544678","2.4534413814544678","2.4534413814544678"
"889","2.479989767074585","2.479989767074585","2.479989767074585"
"891","2.441406011581421","2.441406011581421","2.441406011581421"
"893","2.4568049907684326","2.4568049907684326","2.4568049907684326"
"895","2.4308555126190186","2.4308555126190186","2.4308555126190186"
"897","2.377592086791992","2.377592086791992","2.377592086791992"
"899","2.6003170013427734","2.6003170013427734","2.6003170013427734"
"901","2.5823166370391846","2.5823166370391846","2.5823166370391846"
"903","2.553457260131836","2.553457260131836","2.553457260131836"
"905","2.5523054599761963","2.5523054599761963","2.5523054599761963"
"907","2.616349220275879","2.616349220275879","2.616349220275879"
"909","2.5404462814331055","2.5404462814331055","2.5404462814331055"
"911","2.525804042816162","2.525804042816162","2.525804042816162"
"913","2.5165653228759766","2.5165653228759766","2.5165653228759766"
"915","2.506371021270752","2.506371021270752","2.506371021270752"
