"train/global_step","./falcon_results_packing - _step","./falcon_results_packing - _step__MIN","./falcon_results_packing - _step__MAX","./falcon_results_packing - eval/loss","./falcon_results_packing - eval/loss__MIN","./falcon_results_packing - eval/loss__MAX"
"9900","395","395","395","1.3339890241622925","1.3339890241622925","1.3339890241622925"
"9950","397","397","397","1.3342913389205933","1.3342913389205933","1.3342913389205933"
"10000","399","399","399","1.3345075845718384","1.3345075845718384","1.3345075845718384"
"10050","401","401","401","1.3359363079071045","1.3359363079071045","1.3359363079071045"
"10100","403","403","403","1.3345105648040771","1.3345105648040771","1.3345105648040771"
"10150","405","405","405","1.3344876766204834","1.3344876766204834","1.3344876766204834"
"10200","407","407","407","1.3344923257827759","1.3344923257827759","1.3344923257827759"
"10250","409","409","409","1.3350039720535278","1.3350039720535278","1.3350039720535278"
"10300","411","411","411","1.3371104001998901","1.3371104001998901","1.3371104001998901"
"10350","413","413","413","1.3345245122909546","1.3345245122909546","1.3345245122909546"
"10400","415","415","415","1.3354688882827759","1.3354688882827759","1.3354688882827759"
"10450","417","417","417","1.3365858793258667","1.3365858793258667","1.3365858793258667"
"10500","419","419","419","1.3372156620025635","1.3372156620025635","1.3372156620025635"
"10550","421","421","421","1.3370810747146606","1.3370810747146606","1.3370810747146606"
"10600","423","423","423","1.3349883556365967","1.3349883556365967","1.3349883556365967"
"10650","425","425","425","1.336409330368042","1.336409330368042","1.336409330368042"
"10700","427","427","427","1.3377766609191895","1.3377766609191895","1.3377766609191895"
"10750","429","429","429","1.3356636762619019","1.3356636762619019","1.3356636762619019"
"10800","431","431","431","1.3350164890289307","1.3350164890289307","1.3350164890289307"
"10850","433","433","433","1.333762764930725","1.333762764930725","1.333762764930725"
"10900","435","435","435","1.3339117765426636","1.3339117765426636","1.3339117765426636"
"10950","437","437","437","1.3338176012039185","1.3338176012039185","1.3338176012039185"
"11000","439","439","439","1.3333083391189575","1.3333083391189575","1.3333083391189575"
"11050","441","441","441","1.3335663080215454","1.3335663080215454","1.3335663080215454"
"11100","443","443","443","1.3329275846481323","1.3329275846481323","1.3329275846481323"
"11150","445","445","445","1.334762454032898","1.334762454032898","1.334762454032898"
"11200","447","447","447","1.333846926689148","1.333846926689148","1.333846926689148"
"11250","449","449","449","1.3334604501724243","1.3334604501724243","1.3334604501724243"
"11300","451","451","451","1.3335602283477783","1.3335602283477783","1.3335602283477783"
"11350","453","453","453","1.3341398239135742","1.3341398239135742","1.3341398239135742"
"11400","455","455","455","1.3342658281326294","1.3342658281326294","1.3342658281326294"
"11450","457","457","457","1.3333688974380493","1.3333688974380493","1.3333688974380493"
"11500","459","459","459","1.3335342407226562","1.3335342407226562","1.3335342407226562"
"11550","461","461","461","1.3327300548553467","1.3327300548553467","1.3327300548553467"
"11600","463","463","463","1.334402084350586","1.334402084350586","1.334402084350586"
"11650","465","465","465","1.3346505165100098","1.3346505165100098","1.3346505165100098"
"11700","467","467","467","1.3337005376815796","1.3337005376815796","1.3337005376815796"
"11750","469","469","469","1.3362847566604614","1.3362847566604614","1.3362847566604614"
"11800","471","471","471","1.3350716829299927","1.3350716829299927","1.3350716829299927"
"11850","473","473","473","1.3344073295593262","1.3344073295593262","1.3344073295593262"
"11900","475","475","475","1.3358571529388428","1.3358571529388428","1.3358571529388428"
"11950","477","477","477","1.3353016376495361","1.3353016376495361","1.3353016376495361"
"12000","479","479","479","1.334646224975586","1.334646224975586","1.334646224975586"
"12050","481","481","481","1.333170771598816","1.333170771598816","1.333170771598816"
"12100","483","483","483","1.3340057134628296","1.3340057134628296","1.3340057134628296"
"12150","485","485","485","1.332654595375061","1.332654595375061","1.332654595375061"
"12200","487","487","487","1.331902027130127","1.331902027130127","1.331902027130127"
"12250","489","489","489","1.3331263065338135","1.3331263065338135","1.3331263065338135"
"12300","491","491","491","1.332444190979004","1.332444190979004","1.332444190979004"
"12350","493","493","493","1.333597183227539","1.333597183227539","1.333597183227539"
"12400","495","495","495","1.3332054615020752","1.3332054615020752","1.3332054615020752"
"12450","497","497","497","1.333672046661377","1.333672046661377","1.333672046661377"
"12500","499","499","499","1.3329654932022095","1.3329654932022095","1.3329654932022095"
"12550","501","501","501","1.3351770639419556","1.3351770639419556","1.3351770639419556"
"12600","503","503","503","1.3331758975982666","1.3331758975982666","1.3331758975982666"
"12650","505","505","505","1.3330730199813843","1.3330730199813843","1.3330730199813843"
"12700","507","507","507","1.3327659368515015","1.3327659368515015","1.3327659368515015"
"12750","509","509","509","1.3316129446029663","1.3316129446029663","1.3316129446029663"
"12800","511","511","511","1.333882212638855","1.333882212638855","1.333882212638855"
"12850","513","513","513","1.332276701927185","1.332276701927185","1.332276701927185"
"12900","515","515","515","1.3322699069976807","1.3322699069976807","1.3322699069976807"
"12950","517","517","517","1.3332794904708862","1.3332794904708862","1.3332794904708862"
"13000","519","519","519","1.333420991897583","1.333420991897583","1.333420991897583"
"13050","521","521","521","1.3346586227416992","1.3346586227416992","1.3346586227416992"
"13100","523","523","523","1.3341785669326782","1.3341785669326782","1.3341785669326782"
"13150","525","525","525","1.3345729112625122","1.3345729112625122","1.3345729112625122"
"13200","527","527","527","1.333855152130127","1.333855152130127","1.333855152130127"
"13250","529","529","529","1.3332597017288208","1.3332597017288208","1.3332597017288208"
"13300","531","531","531","1.3344881534576416","1.3344881534576416","1.3344881534576416"
"13350","533","533","533","1.3323732614517212","1.3323732614517212","1.3323732614517212"
"13400","535","535","535","1.3316335678100586","1.3316335678100586","1.3316335678100586"
"13450","537","537","537","1.3318506479263306","1.3318506479263306","1.3318506479263306"
"13500","539","539","539","1.3344345092773438","1.3344345092773438","1.3344345092773438"
"13550","541","541","541","1.3328795433044434","1.3328795433044434","1.3328795433044434"
"13600","543","543","543","1.3318372964859009","1.3318372964859009","1.3318372964859009"
"13650","545","545","545","1.3326185941696167","1.3326185941696167","1.3326185941696167"
"13700","547","547","547","1.3313370943069458","1.3313370943069458","1.3313370943069458"
"13750","549","549","549","1.3318589925765991","1.3318589925765991","1.3318589925765991"
"13800","551","551","551","1.3330333232879639","1.3330333232879639","1.3330333232879639"
"13850","553","553","553","1.3319565057754517","1.3319565057754517","1.3319565057754517"
"13900","555","555","555","1.3319847583770752","1.3319847583770752","1.3319847583770752"
"13950","557","557","557","1.332007884979248","1.332007884979248","1.332007884979248"
"14000","559","559","559","1.332276701927185","1.332276701927185","1.332276701927185"
"14050","561","561","561","1.3311020135879517","1.3311020135879517","1.3311020135879517"
"14100","563","563","563","1.3318216800689697","1.3318216800689697","1.3318216800689697"
"14150","565","565","565","1.331982970237732","1.331982970237732","1.331982970237732"
"14200","567","567","567","1.3314964771270752","1.3314964771270752","1.3314964771270752"
"14250","569","569","569","1.3336663246154785","1.3336663246154785","1.3336663246154785"
"14300","571","571","571","1.332626223564148","1.332626223564148","1.332626223564148"
"14350","573","573","573","1.3331319093704224","1.3331319093704224","1.3331319093704224"
"14400","575","575","575","1.3346221446990967","1.3346221446990967","1.3346221446990967"
"14450","577","577","577","1.333690881729126","1.333690881729126","1.333690881729126"
"14500","579","579","579","1.3322864770889282","1.3322864770889282","1.3322864770889282"
"14550","581","581","581","1.3349080085754395","1.3349080085754395","1.3349080085754395"
"14600","583","583","583","1.3324962854385376","1.3324962854385376","1.3324962854385376"
"14650","585","585","585","1.3324499130249023","1.3324499130249023","1.3324499130249023"
"14700","587","587","587","1.3313672542572021","1.3313672542572021","1.3313672542572021"
"14750","589","589","589","1.3326412439346313","1.3326412439346313","1.3326412439346313"
"14800","591","591","591","1.3331629037857056","1.3331629037857056","1.3331629037857056"
"14850","593","593","593","1.3316692113876343","1.3316692113876343","1.3316692113876343"
"14900","595","595","595","1.3313720226287842","1.3313720226287842","1.3313720226287842"
"14950","597","597","597","1.3337031602859497","1.3337031602859497","1.3337031602859497"
"15000","599","599","599","1.3309528827667236","1.3309528827667236","1.3309528827667236"
"15050","601","601","601","1.3309524059295654","1.3309524059295654","1.3309524059295654"
"15100","603","603","603","1.3305529356002808","1.3305529356002808","1.3305529356002808"
"15150","605","605","605","1.3312597274780273","1.3312597274780273","1.3312597274780273"
"15200","607","607","607","1.3319686651229858","1.3319686651229858","1.3319686651229858"
"15250","609","609","609","1.3318796157836914","1.3318796157836914","1.3318796157836914"
"15300","611","611","611","1.3315666913986206","1.3315666913986206","1.3315666913986206"
"15350","613","613","613","1.3309602737426758","1.3309602737426758","1.3309602737426758"
"15400","615","615","615","1.3310109376907349","1.3310109376907349","1.3310109376907349"
"15450","617","617","617","1.3322789669036865","1.3322789669036865","1.3322789669036865"
"15500","619","619","619","1.3326480388641357","1.3326480388641357","1.3326480388641357"
"15550","621","621","621","1.3314869403839111","1.3314869403839111","1.3314869403839111"
"15600","623","623","623","1.331141471862793","1.331141471862793","1.331141471862793"
"15650","625","625","625","1.331249713897705","1.331249713897705","1.331249713897705"
"15700","627","627","627","1.332241415977478","1.332241415977478","1.332241415977478"
"15750","629","629","629","1.3327630758285522","1.3327630758285522","1.3327630758285522"
"15800","631","631","631","1.3338176012039185","1.3338176012039185","1.3338176012039185"
"15850","633","633","633","1.3341553211212158","1.3341553211212158","1.3341553211212158"
"15900","635","635","635","1.3346198797225952","1.3346198797225952","1.3346198797225952"
"15950","637","637","637","1.3332929611206055","1.3332929611206055","1.3332929611206055"
"16000","639","639","639","1.3324445486068726","1.3324445486068726","1.3324445486068726"
"16050","641","641","641","1.3317214250564575","1.3317214250564575","1.3317214250564575"
"16100","643","643","643","1.3313695192337036","1.3313695192337036","1.3313695192337036"
"16150","645","645","645","1.332455039024353","1.332455039024353","1.332455039024353"
"16200","647","647","647","1.332867980003357","1.332867980003357","1.332867980003357"
"16250","649","649","649","1.331405520439148","1.331405520439148","1.331405520439148"
"16300","651","651","651","1.3315578699111938","1.3315578699111938","1.3315578699111938"
"16350","653","653","653","1.3302265405654907","1.3302265405654907","1.3302265405654907"
"16400","655","655","655","1.3318825960159302","1.3318825960159302","1.3318825960159302"
"16450","657","657","657","1.3302103281021118","1.3302103281021118","1.3302103281021118"
"16500","659","659","659","1.330604076385498","1.330604076385498","1.330604076385498"
"16550","661","661","661","1.3300678730010986","1.3300678730010986","1.3300678730010986"
"16600","663","663","663","1.3312240839004517","1.3312240839004517","1.3312240839004517"
"16650","665","665","665","1.3315396308898926","1.3315396308898926","1.3315396308898926"
"16700","667","667","667","1.3328510522842407","1.3328510522842407","1.3328510522842407"
"16750","669","669","669","1.3306593894958496","1.3306593894958496","1.3306593894958496"
"16800","671","671","671","1.3318532705307007","1.3318532705307007","1.3318532705307007"
"16850","673","673","673","1.3319426774978638","1.3319426774978638","1.3319426774978638"
"16900","675","675","675","1.3321632146835327","1.3321632146835327","1.3321632146835327"
"16950","677","677","677","1.3301936388015747","1.3301936388015747","1.3301936388015747"
"17000","679","679","679","1.3307793140411377","1.3307793140411377","1.3307793140411377"
"17050","681","681","681","1.332000732421875","1.332000732421875","1.332000732421875"
"17100","683","683","683","1.332232117652893","1.332232117652893","1.332232117652893"
"17150","685","685","685","1.3314259052276611","1.3314259052276611","1.3314259052276611"
"17200","687","687","687","1.3336597681045532","1.3336597681045532","1.3336597681045532"
"17250","689","689","689","1.3350790739059448","1.3350790739059448","1.3350790739059448"
"17300","691","691","691","1.3330519199371338","1.3330519199371338","1.3330519199371338"
"17350","693","693","693","1.333690881729126","1.333690881729126","1.333690881729126"
"17400","695","695","695","1.3314735889434814","1.3314735889434814","1.3314735889434814"
"17450","697","697","697","1.3309992551803589","1.3309992551803589","1.3309992551803589"
"17500","699","699","699","1.3298559188842773","1.3298559188842773","1.3298559188842773"
"17550","701","701","701","1.3298076391220093","1.3298076391220093","1.3298076391220093"
"17600","703","703","703","1.3308088779449463","1.3308088779449463","1.3308088779449463"
"17650","705","705","705","1.3304632902145386","1.3304632902145386","1.3304632902145386"
"17700","707","707","707","1.3314756155014038","1.3314756155014038","1.3314756155014038"
"17750","709","709","709","1.3307976722717285","1.3307976722717285","1.3307976722717285"
"17800","711","711","711","1.3304442167282104","1.3304442167282104","1.3304442167282104"
"17850","713","713","713","1.3314814567565918","1.3314814567565918","1.3314814567565918"
